A0_EV	A1_EV	A2_EV	DBCO	Stroke	T_EV
ENSMUSG00002074901	0	0	0	0	0	0
Snhg6	0.0461914958702967	600	0.0439967105263158	0.235344827586207	0.178278046027466	0.187918116135938
Snord87	0	1	6.8530701754386e-05	0	6.27077193202483e-05	0
Tcf24	0.000764759865402264	5	0.000274122807017544	0.00380747126436782	0.00294726280805167	0.00227455177950227
E330040D14Rik	7.64759865402264e-05	0	6.8530701754386e-05	0	0.000125415438640497	0
Sccpdh	0.166182318751912	1945	0.115748355263158	0.3125	0.352981752053678	0.574859512978325
Smg7	0.0449678800856531	471	0.0421463815789474	0.215158045977011	0.200288455508873	0.211934706984212
Gm28791	0.0107831141021719	129	0.010827850877193	0.0844109195402299	0.0716749231830438	0.100615466952101
1700040K01Rik	0.000305903946160905	7	0.000616776315789474	0	0.000313538596601242	0.000267594327000268
Kif28	7.64759865402264e-05	0	0.000205592105263158	0.00028735632183908	0.000438954035241738	0.000535188654000535
Gm8976	0.000229427959620679	3	6.8530701754386e-05	7.18390804597701e-05	0	0.000267594327000268
Col5a2	0.00894769042520649	68	0.0137746710526316	0.0496408045977011	0.0387533705399135	0.0884399250735884
Gm38211	0.000458855919241358	5	0.00137061403508772	0.00704022988505747	0.00652160280930583	0.0117741503880118
Wdfy1	0.0325022942795962	394	0.0286458333333333	0.260129310344828	0.30802031730106	0.22049772544822
Gm10555	7.64759865402264e-05	3	0.000274122807017544	0.000359195402298851	0.000125415438640497	0.000133797163500134
Ppp1r42	0.00244723156928724	79	0.0048656798245614	0.0069683908045977	0.0055809870195021	0.00434840781375435
Gm15818	0	0	0	0	0	0
Mrpl44	0.0461150198837565	646	0.0361156798245614	0.110488505747126	0.0963817645952217	0.111519935777362
Gm24674	0	0	0	0	0	6.68985817500669e-05
Serpine2	0.631232792903028	8593	0.531455592105263	2.58132183908046	2.27992725904559	2.18979127642494
Nmnat2	0.00650045885591924	82	0.00726425438596491	0.0506465517241379	0.054806546685897	0.042012309339042
Gm5529	0	1	6.8530701754386e-05	0.00028735632183908	0.000125415438640497	6.68985817500669e-05
Gm28960	0	0	0	0	0	0
Gm28071	0	3	0	7.18390804597701e-05	0.000188123157960745	6.68985817500669e-05
Gm28058	0	0	0	0	0	0
Gm23934	0	0	0	0	0	0
Gm38339	0	0	0	0	6.27077193202483e-05	0
9830004L10Rik	7.64759865402264e-05	0	0	7.18390804597701e-05	0.000125415438640497	0
Fam124b	0.00168247170388498	14	0.00185032894736842	0.000502873563218391	0.00257101649213018	0.00374632057800375
2310015K22Rik	7.64759865402264e-05	1	0.000137061403508772	7.18390804597701e-05	0	6.68985817500669e-05
Gm37932	0	0	6.8530701754386e-05	0.000359195402298851	0.000564369473882235	0.000267594327000268
Ahctf1	0.0586570816763536	883	0.055578399122807	0.180028735632184	0.176961183921741	0.182164838105432
Gm10518	0.000152951973080453	1	0	0.00014367816091954	0.000188123157960745	6.68985817500669e-05
Cops5	0.235316610584277	3698	0.200041118421053	0.300431034482759	0.271712547814636	0.333221835697083
Gm37070	0.000458855919241358	10	0.000548245614035088	0.000933908045977011	0.000501661754561987	0.00107037730800107
Lamc2	0.000229427959620679	3	0.000411184210526316	0.0014367816091954	0.000689784912522732	0.0012041744715012
Cul3	0.0748699908228816	768	0.0729166666666667	0.373491379310345	0.367341819778015	0.356301846400856
Gm37902	0.0014530437442643	18	0.00191885964912281	0.0167385057471264	0.0168683764971468	0.0170591383462671
Gm37262	7.64759865402264e-05	6	0.000411184210526316	0.0055316091954023	0.00551827930018185	0.00307733476050308
Gm29125	7.64759865402264e-05	1	0	7.18390804597701e-05	0.00037624631592149	0
Gm6189	0.000229427959620679	2	6.8530701754386e-05	7.18390804597701e-05	0.000501661754561987	6.68985817500669e-05
Lamc1	0.0423676965432854	509	0.0423519736842105	0.115948275862069	0.119207374427792	0.150990099009901
1700016L21Rik	0	0	0	7.18390804597701e-05	0	6.68985817500669e-05
Gm45261	0	0	0	7.18390804597701e-05	0	0
Gm38009	0.0029060874885286	32	0.00219298245614035	0.0154454022988506	0.0104094814071612	0.0226117206315226
Gm8818	0.011471397981034	240	0.00808662280701754	0.00603448275862069	0.0037624631592149	0.0286994915707787
E330020D12Rik	0.0196543285408382	373	0.0182291666666667	0.0487068965517241	0.0538032231767731	0.0436178753010436
Shcbp1l	0.00321199143468951	53	0.00191885964912281	0.00984195402298851	0.00990781965259924	0.013045223441263
Gm25588	7.64759865402264e-05	0	0	7.18390804597701e-05	0	6.68985817500669e-05
Gm37669	0	0	0	0.00028735632183908	0	6.68985817500669e-05
Gm18849	0	0	0	0	0	6.68985817500669e-05
Dnah7b	0.00412970327317222	84	0.00603070175438596	0.0367097701149425	0.0349909073806986	0.0251538667380252
n-R5s211	0	0	0	0	6.27077193202483e-05	0
Dhx9	0.164117467115326	2027	0.134936951754386	0.573994252873563	0.535900169310842	0.508362322718758
Gm8326	0.000229427959620679	1	0.000205592105263158	0.000646551724137931	0.00037624631592149	0.000267594327000268
Npl	0.103777913735087	1536	0.0864857456140351	0.148778735632184	0.145732739700257	0.107037730800107
Gm6652	0.000229427959620679	1	0.000274122807017544	7.18390804597701e-05	0	0
Dnah7c	0.00160599571734475	47	0.00164473684210526	0.00675287356321839	0.00257101649213018	0.00495049504950495
Slc39a10	0.217038849801162	2355	0.22046326754386	0.189367816091954	0.239229949206747	0.235683703505486
Gm28151	0.0026001835423677	19	0.00143914473684211	0.0123563218390805	0.0127923747413307	0.011038265988761
Gm37393	0.00474151116549403	75	0.00699013157894737	0.00510057471264368	0.0101586505298802	0.0153197752207653
Gm28527	0.00084123585194249	3	0.000411184210526316	7.18390804597701e-05	0.00037624631592149	0.000334492908750335
Gm28825	0	0	0	0	0	0
Gm28826	7.64759865402264e-05	1	0	0.00028735632183908	0.000125415438640497	0
Gm4852	7.64759865402264e-05	0	0	7.18390804597701e-05	6.27077193202483e-05	0
Gm38090	0	0	0	0	0	0
Mir6350	0	0	0	0	0	0
Gm18117	0	0	0	0	0	0
Gm37196	0	0	0	0	0	0
Gm8337	0.000458855919241358	2	0.000411184210526316	0.00021551724137931	0.000313538596601242	6.68985817500669e-05
ENSMUSG00002075213	0	0	0	0	0	0
7SK.2	0	0	0	0	0	0
Gm19206	0	0	0	0	0	0
Gm5974	0	0	0	0	0	0
Gm23240	0	0	0	0	0	6.68985817500669e-05
Gm28830	0	0	0	0	0	0
Gm8354	0	0	0	0	0	0
Gm19124	0	0	0	0	0	0
Gm8357	0	0	0	0	6.27077193202483e-05	0
ENSMUSG00002076043	0	0	0	0	0	0
Gm28740	0	0	0	0	0	0
Cspp1	0.0892474762924442	1201	0.0873766447368421	0.407327586206897	0.374114253464601	0.341182766925341
Gm8367	0	0	0	0	0	0
C230029F24Rik	0	0	0	7.18390804597701e-05	6.27077193202483e-05	0
Gm6757	0	0	0	0	0	0
Gm3605	0	0	0	0	0	0
Gm28388	0	0	0	0	0	0
Gm8384	0	0	0	0	0	0
1700047N06Rik	0	0	0	0	0	0
4933411E06Rik	0.000152951973080453	2	0.000548245614035088	0.00179597701149425	0.00244560105348968	0.00207385603425207
Gm8391	0	0	0	0	0	0
ENSMUSG00002075839	0	0	0	0	0	0
Gm29665	0	0	0	0	0	0
Gm20118	0	0	0	0	0	0
7SK.3	0	0	0	0	0	0
Gm28321	0	0	0	0	0	0
Rgs8	0.00122361578464362	27	0.00246710526315789	0.023132183908046	0.0263372421145043	0.0163901525287664
Gm29529	0	0	0	0	0	0
5530400K19Rik	7.64759865402264e-05	0	0	0.00028735632183908	0	0
C230024C17Rik	0.000764759865402264	25	0.000411184210526316	0.00114942528735632	0.000877908070483477	0.00194005887075194
