GeneSym	17-002	17-006	17-019	17-023	17-026	17-027	17-030	17-034	17-040	17-041	17-042	17-043	17-045	17-047	17-054	17-055	17-057	17-058	17-060	17-061
AACSL	33.8245773	28.8400148	24.5900029	21.40684088	29.44600482	28.64080227	23.26356028	31.34144952	23.10286713	24.5900029	23.58830748	27.09585	25.10669113	22.78480313	22.78480313	24.93326655	24.08394796	23.58830748	25.99207668	41.64293937
AADAC	24.93326655	22.47111801	22.16175149	21.40684088	23.91758798	24.08394796	30.48441594	19.8353232	21.70566924	24.7610399	19.69831061	23.58830748	21.55573723	20.82146969	23.42537114	20.39297004	20.39297004	24.7610399	24.08394796	23.10286713
AADACL1	81.57188015	58.48521281	56.49299176	85.0358921	60.12945595	68.11969168	61.39290364	43.41133848	58.89200964	41.35529058	48.84029469	47.50475426	49.52207979	42.51794605	53.44562684	54.94818793	40.78594007	56.10276616	33.59093388	40.22442798
AADACL2	24.25146506	24.42014734	22.94328397	21.25897303	23.26356028	23.58830748	24.93326655	26.72281342	22.00866909	23.75237713	23.10286713	20.53481436	24.25146506	22.78480313	20.96629446	25.63423608	20.96629446	20.82146969	20.67764529	21.40684088
AADACL3	20.53481436	26.72281342	25.28132198	20.96629446	21.40684088	23.91758798	22.627417	22.16175149	20.67764529	21.25897303	20.11221399	22.16175149	23.91758798	24.08394796	22.00866909	21.40684088	21.25897303	25.28132198	23.26356028	20.2521055
AADACL4	21.25897303	20.96629446	19.56224444	21.11212657	21.40684088	20.96629446	22.16175149	19.8353232	18.76535919	19.02731384	19.42711815	19.56224444	19.02731384	20.39297004	20.67764529	20.39297004	19.42711815	18.76535919	18.76535919	20.11221399
AADAT	52.34573175	36.25228433	30.69645182	78.79324245	40.50421101	21.70566924	28.64080227	23.42537114	30.69645182	26.17286587	21.85664411	21.25897303	33.35890435	26.53822547	28.4429658	25.28132198	25.8125363	32.89964245	28.64080227	33.35890435
AAGAB	38.05462768	58.89200964	72.00374302	43.11147446	57.28160454	53.07645093	44.63179732	75.06143675	53.81737058	65.34477605	68.5935016	41.06962872	62.24991663	74.02804377	64	51.26847217	65.34477605	50.91433496	59.71411146	82.71058116
AAK1	51.98415337	69.5510312	37.79176517	47.50475426	66.71780869	58.89200964	48.50293013	23.58830748	38.58585049	53.07645093	34.2967508	51.26847217	55.3303828	42.22425314	51.98415337	61.39290364	66.25695513	58.08122594	31.34144952	49.1800058
AAMP	43.41133848	29.65081798	44.94223602	66.71780869	43.41133848	47.50475426	44.63179732	43.41133848	39.6706464	44.32350298	55.3303828	46.52712055	54.94818793	41.06962872	41.93258892	42.81368175	28.05138308	28.05138308	34.7755156	31.55944654
AANAT	19.42711815	19.29292524	20.39297004	19.15965927	20.39297004	19.15965927	19.42711815	19.42711815	19.29292524	19.69831061	22.94328397	19.69831061	20.67764529	20.11221399	19.42711815	20.67764529	19.97328878	20.11221399	19.15965927	19.56224444
